Camera,SessionNumber,SetNumber,Filename,AverageSpeeds,set_size
R,00,01E,R_00_01E.MOV,"[0.5050962450592885, 0.6070640316205533, 0.6284061264822134]",3
R,00,02E,R_00_02E.MOV,[0.48645405405405406],1
R,00,03E,R_00_03E.MOV,[0.446763829787234],1
R,00,04E,R_00_04E.MOV,[0.28322676056338025],1
R,00,05E,R_00_05E.MOV,[0.23485304735114862],1
R,01,01E,R_01_01E.MOV,"[0.5253485294117647, 0.5685705882352942, 0.4930670838548184, 0.39549797160243405, 0.38035411764705884]",5
R,01,02E,R_01_02E.MOV,"[0.38034005867014337, 0.5076415384615385, 0.47471213942307694, 0.4592300904977376, 0.3576565384615385]",5
R,01,03E,R_01_03E.MOV,"[0.4896885561936013, 0.4839635541008856, 0.4422964011180992, 0.3395830188679246, 0.30469435254587746]",5
R,01,04E,R_01_04E.MOV,"[0.4219365839243499, 0.44323532021604944, 0.4063311899862826, 0.31072763310185186, 0.30804486531986536]",5
R,01,05E,R_01_05E.MOV,"[0.49830947497949146, 0.4550488301886793, 0.41375172413793104, 0.4445524528301887, 0.38755318196354327, 0.36832310595065315, 0.2801955974842767]",7
R,02,01E,R_02_01E.MOV,"[0.4741664150943396, 0.41142474600870826, 0.42074823780704884, 0.4244858490566038, 0.3981726911618668]",5
R,02,02E,R_02_02E.MOV,"[0.44187499999999996, 0.46556190476190473, 0.46613695652173914, 0.36534807692307697, 0.36801875]",5
R,02,03E,R_02_03E.MOV,"[0.446925, 0.4330632653061224, 0.38370648148148145, 0.36107500000000003, 0.2880664285714285]",5
R,02,04E,R_02_04E.MOV,"[0.41903323268921094, 0.4570173821548821, 0.3558906779661017, 0.32267476851851856, 0.2962617283950618]",5
R,02,05E,R_02_05E.MOV,"[0.39866142857142856, 0.4031217391304348, 0.3839616, 0.305248064516129, 0.31025213114754097, 0.22801662650602408]",6
R,03,01E,R_03_01E.MOV,"[0.49664844339622644, 0.5427613933236575, 0.5052416935112747, 0.4754241509433962, 0.44259724528301886]",5
R,03,02E,R_03_02E.MOV,"[0.3786084212662338, 0.5486811534749035, 0.5008344196428572, 0.4912318815331011, 0.44518615079365087]",5
R,03,03E,R_03_03E.MOV,"[0.4920142857142857, 0.5118535714285715, 0.46965, 0.472175, 0.3942960784313725]",5
R,03,04E,R_03_04E.MOV,"[0.4700839198036007, 0.5086903846153846, 0.5032229950900163, 0.4578101882160393, 0.40977334217506634]",5
R,03,05E,R_03_05E.MOV,"[0.5142342857142858, 0.5162945192307692, 0.4910063506261181, 0.4448273076923077, 0.4968908653846154, 0.42904362980769234, 0.3877817307692307, 0.339809765625, 0.31473096719457017, 0.2470341176470588]",10
R,04,01E,R_04_01E.MOV,"[0.37740684485006526, 0.42368644067796607, 0.3786880187025131, 0.27864261501210646, 0.2705316384180791]",5
R,04,02E,R_04_02E.MOV,"[0.3975261663286004, 0.39268103448275865, 0.3991142810670137, 0.35255094827586203, 0.3416843131712832]",5
R,04,03E,R_04_03E.MOV,"[0.4560947368421052, 0.48081315789473683, 0.4410085263157895, 0.363767867036011, 0.3009145748987854]",5
R,04,04E,R_04_04E.MOV,"[0.3275367503259452, 0.4510833213126577, 0.3217315280720339, 0.33838785773826063, 0.31299314088983043]",5
R,04,05E,R_04_05E.MOV,"[0.4280218368151359, 0.446763829787234, 0.41690745762711856, 0.37943474576271186, 0.31151041162227605, 0.2466542143838754, 0.15791949152542373]",7
